Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
698179c4e32713b4cd93e561,"Different drivers have different risk levels, but vehicle insurance pricing is mostly fixed and does not adapt to driving behavior.",https://trello.com/c/lfj7Jbgm/7-different-drivers-have-different-risk-levels-but-vehicle-insurance-pricing-is-mostly-fixed-and-does-not-adapt-to-driving-behavio,,,,,0,,0,0,0,0,2026-02-03T04:29:59.571Z,6981790faa6d24560f3623a1,Problem Understanding,6981764e31f7a5682f26ebd4,Adaptive Vehicle Insurance – Design Thinking,false,,true,
698179c70d21ad6023f09ed7,"Safe drivers feel they are overpaying, while risky drivers are undercharged.",https://trello.com/c/SOtFTKyM/8-safe-drivers-feel-they-are-overpaying-while-risky-drivers-are-undercharged,,,,,0,,0,0,0,0,2026-02-03T04:30:01.179Z,6981791ba1f8553812473ad8,User Personas,6981764e31f7a5682f26ebd4,Adaptive Vehicle Insurance – Design Thinking,false,,true,
698179db2b09176a0853b615,"Safe Driver – follows traffic rules, steady speed, low risk",https://trello.com/c/aWYqieE6/9-safe-driver-follows-traffic-rules-steady-speed-low-risk,,,,,0,,0,0,0,0,2026-02-03T04:30:20.471Z,6981792b53393096e0a1605d,Features / Ideas,6981764e31f7a5682f26ebd4,Adaptive Vehicle Insurance – Design Thinking,false,,true,
698179fc2953c56aadca5835,"Risky Driver – overspeeding, harsh braking, high risk",https://trello.com/c/Qs6tuXKn/10-risky-driver-overspeeding-harsh-braking-high-risk,,,,,0,,0,0,0,0,2026-02-03T04:30:59.783Z,6981792b53393096e0a1605d,Features / Ideas,6981764e31f7a5682f26ebd4,Adaptive Vehicle Insurance – Design Thinking,false,,true,
69817a0c216261bbc0e708e4,"New Driver – limited experience, moderate risk",https://trello.com/c/QbjQ6x3D/11-new-driver-limited-experience-moderate-risk,,,,,0,,0,0,0,0,2026-02-03T04:31:09.343Z,6981792b53393096e0a1605d,Features / Ideas,6981764e31f7a5682f26ebd4,Adaptive Vehicle Insurance – Design Thinking,false,,true,
69817a1f2ddffeda604a731e,User signs up and installs the insurance app,https://trello.com/c/SPCOJVI7/12-user-signs-up-and-installs-the-insurance-app,,,,,0,,0,0,0,0,2026-02-03T04:31:28.021Z,698179396024897d8ec0e513,User Flow,6981764e31f7a5682f26ebd4,Adaptive Vehicle Insurance – Design Thinking,false,,true,
69817a2777f835f78e343563,App tracks driving behavior in real time,https://trello.com/c/g8vO7xO6/13-app-tracks-driving-behavior-in-real-time,,,,,0,,0,0,0,0,2026-02-03T04:31:39.181Z,698179396024897d8ec0e513,User Flow,6981764e31f7a5682f26ebd4,Adaptive Vehicle Insurance – Design Thinking,false,,true,
69817a338315d004ca614f9c,System calculates driver risk score,https://trello.com/c/pfGcdTFK/14-system-calculates-driver-risk-score,,,,,0,,0,0,0,0,2026-02-03T04:31:48.120Z,698179396024897d8ec0e513,User Flow,6981764e31f7a5682f26ebd4,Adaptive Vehicle Insurance – Design Thinking,false,,true,
69817a3ba3f38f864aa24c58,Insurance premium is adjusted monthly,https://trello.com/c/Ho3Y4dv0/15-insurance-premium-is-adjusted-monthly,,,,,0,,0,0,0,0,2026-02-03T04:31:59.873Z,698179396024897d8ec0e513,User Flow,6981764e31f7a5682f26ebd4,Adaptive Vehicle Insurance – Design Thinking,false,,true,
69817a5596773d33181db49a,Usage-based vehicle insurance that adapts pricing and rewards based on real driving behavior.,https://trello.com/c/jne5qC5L/16-usage-based-vehicle-insurance-that-adapts-pricing-and-rewards-based-on-real-driving-behavior,,,,,0,,0,0,0,0,2026-02-03T04:32:22.688Z,69817a5022edffae778b03a7,Final Solution,6981764e31f7a5682f26ebd4,Adaptive Vehicle Insurance – Design Thinking,false,,true,
